experiment;subject;condition;conditionC;totalTrialNum;totalTrialNumC;blockNum;imageName;isRight
3;георгий;low;-0,5;5;;1;la1.png;1
3;георгий;low;-0,5;3;;1;la1.png;0
3;георгий;low;-0,5;1;;1;la2.png;1
3;георгий;low;-0,5;7;;1;la3.png;1
3;георгий;low;-0,5;0;;1;lb1.png;0
3;георгий;low;-0,5;2;;1;lb1.png;1
3;георгий;low;-0,5;6;;1;lb2.png;1
3;георгий;low;-0,5;4;;1;lb3.png;0
3;георгий;low;-0,5;13;;2;la1.png;0
3;георгий;low;-0,5;11;;2;la1.png;1
3;георгий;low;-0,5;14;;2;la2.png;0
3;георгий;low;-0,5;15;;2;la3.png;1
3;георгий;low;-0,5;9;;2;lb1.png;1
3;георгий;low;-0,5;8;;2;lb1.png;0
3;георгий;low;-0,5;10;;2;lb2.png;1
3;георгий;low;-0,5;12;;2;lb3.png;1
3;георгий;low;-0,5;22;;3;la1.png;1
3;георгий;low;-0,5;19;;3;la1.png;1
3;георгий;low;-0,5;17;;3;la2.png;1
3;георгий;low;-0,5;16;;3;la3.png;1
3;георгий;low;-0,5;21;;3;lb1.png;0
3;георгий;low;-0,5;23;;3;lb1.png;1
3;георгий;low;-0,5;20;;3;lb2.png;1
3;георгий;low;-0,5;18;;3;lb3.png;0
4;ak7;verb;;0;;1;hb1.png;0
4;ak7;verb;;1;;1;hb2.png;1
4;ak7;verb;;2;;1;ha1.png;1
4;ak7;verb;;3;;1;ha1.png;1
4;ak7;verb;;4;;1;hb1.png;1
4;ak7;verb;;5;;1;ha3.png;1
4;ak7;verb;;6;;1;hb3.png;1
4;ak7;verb;;7;;1;ha2.png;1
4;ak7;verb;;8;;2;hb1.png;1
4;ak7;verb;;9;;2;hb2.png;1
4;ak7;verb;;10;;2;ha1.png;1
4;ak7;verb;;11;;2;ha1.png;1
4;ak7;verb;;12;;2;hb1.png;1
4;ak7;verb;;13;;2;ha3.png;1
4;ak7;verb;;14;;2;hb3.png;1
4;ak7;verb;;15;;2;ha2.png;1
4;ak7;verb;;16;;3;hb1.png;1
4;ak7;verb;;17;;3;hb2.png;1
4;ak7;verb;;18;;3;ha1.png;1
4;ak7;verb;;19;;3;ha1.png;1
4;ak7;verb;;20;;3;hb1.png;1
4;ak7;verb;;21;;3;ha3.png;1
4;ak7;verb;;22;;3;hb3.png;1
4;ak7;verb;;23;;3;ha2.png;1
4;am8_2i;silence;;0;;1;hb1.png;0
4;am8_2i;silence;;1;;1;ha2.png;0
4;am8_2i;silence;;2;;1;ha3.png;0
4;am8_2i;silence;;3;;1;hb3.png;1
4;am8_2i;silence;;4;;1;ha1.png;1
4;am8_2i;silence;;5;;1;ha1.png;1
4;am8_2i;silence;;6;;1;hb1.png;1
4;am8_2i;silence;;7;;1;hb2.png;1
4;am8_2i;silence;;8;;2;hb1.png;1
4;am8_2i;silence;;9;;2;ha2.png;1
4;am8_2i;silence;;10;;2;ha3.png;1
4;am8_2i;silence;;11;;2;hb3.png;1
4;am8_2i;silence;;12;;2;ha1.png;1
4;am8_2i;silence;;13;;2;ha1.png;1
4;am8_2i;silence;;14;;2;hb1.png;1
4;am8_2i;silence;;15;;2;hb2.png;1
4;am8_2i;silence;;16;;3;hb1.png;1
4;am8_2i;silence;;17;;3;ha2.png;1
4;am8_2i;silence;;18;;3;ha3.png;1
4;am8_2i;silence;;19;;3;hb3.png;1
4;am8_2i;silence;;20;;3;ha1.png;1
4;am8_2i;silence;;21;;3;ha1.png;1
4;am8_2i;silence;;22;;3;hb1.png;1
4;am8_2i;silence;;23;;3;hb2.png;1
4;am8;silence;;0;;1;ha1.png;1
4;am8;silence;;1;;1;hb3.png;0
4;am8;silence;;2;;1;hb1.png;1
4;am8;silence;;3;;1;ha2.png;0
4;am8;silence;;4;;1;ha1.png;1
4;am8;silence;;5;;1;hb2.png;1
4;am8;silence;;6;;1;hb1.png;1
4;am8;silence;;7;;1;ha3.png;0
4;am8;silence;;8;;2;ha1.png;0
4;am8;silence;;9;;2;hb3.png;1
4;am8;silence;;10;;2;hb1.png;0
4;ap8_2;verb;;0;;1;ha2.png;1
4;ap8_2;verb;;1;;1;ha1.png;1
4;ap8_2;verb;;2;;1;hb1.png;0
4;ap8_2;verb;;3;;1;hb1.png;1
4;ap8_2;verb;;4;;1;ha3.png;1
4;ap8_2;verb;;5;;1;hb3.png;1
4;ap8_2;verb;;6;;1;ha1.png;1
4;ap8_2;verb;;7;;1;hb2.png;0
4;ap8_2;verb;;8;;2;ha2.png;1
4;ap8_2;verb;;9;;2;ha1.png;0
4;ap8_2;verb;;10;;2;hb1.png;0
4;ap8_2;verb;;11;;2;hb1.png;1
4;ap8_2;verb;;12;;2;ha3.png;1
4;ap8_2;verb;;13;;2;hb3.png;0
4;ap8_2;verb;;14;;2;ha1.png;1
4;ap8_2;verb;;15;;2;hb2.png;1
4;ap8_2;verb;;16;;3;ha2.png;1
4;ap8_2;verb;;17;;3;ha1.png;0
4;ap8_2;verb;;18;;3;hb1.png;1
4;ap8_2;verb;;19;;3;hb1.png;1
4;ap8_2;verb;;20;;3;ha3.png;1
4;ap8_2;verb;;21;;3;hb3.png;1
4;ap8_2;verb;;22;;3;ha1.png;1
4;ap8_2;verb;;23;;3;hb2.png;1
4;ap8;silence;;0;;1;hb2.png;0
4;ap8;silence;;1;;1;hb3.png;0
4;ap8;silence;;2;;1;ha1.png;0
4;ap8;silence;;3;;1;ha3.png;1
4;ap8;silence;;4;;1;hb1.png;1
4;ap8;silence;;5;;1;ha1.png;0
4;ap8;silence;;6;;1;ha2.png;1
4;ap8;silence;;7;;1;hb1.png;1
4;ap8;silence;;8;;2;hb2.png;1
4;ap8;silence;;9;;2;hb3.png;1
4;ap8;silence;;10;;2;ha1.png;0
4;ap8;silence;;11;;2;ha3.png;1
4;ap8;silence;;12;;2;hb1.png;1
4;ap8;silence;;13;;2;ha1.png;1
4;ap8;silence;;14;;2;ha2.png;1
4;ap8;silence;;15;;2;hb1.png;1
4;ap8;silence;;16;;3;hb2.png;1
4;ap8;silence;;17;;3;hb3.png;1
4;ap8;silence;;18;;3;ha1.png;1
4;ap8;silence;;19;;3;ha3.png;1
4;ap8;silence;;20;;3;hb1.png;1
4;ap8;silence;;21;;3;ha1.png;1
4;ap8;silence;;22;;3;ha2.png;1
4;ap8;silence;;23;;3;hb1.png;1
4;av7;silence;;0;;1;hb1.png;0
4;av7;silence;;1;;1;hb2.png;0
4;av7;silence;;2;;1;ha3.png;0
4;av7;silence;;3;;1;ha1.png;1
4;av7;silence;;4;;1;hb1.png;0
4;av7;silence;;5;;1;ha1.png;0
4;av7;silence;;6;;1;ha2.png;1
4;av7;silence;;7;;1;hb3.png;1
4;av7;silence;;8;;2;hb1.png;0
4;av7;silence;;9;;2;hb2.png;1
4;av7;silence;;10;;2;ha3.png;1
4;av7;silence;;11;;2;ha1.png;1
4;av7;silence;;12;;2;hb1.png;0
4;av7;silence;;13;;2;ha1.png;0
4;av7;silence;;14;;2;ha2.png;1
4;av7;silence;;15;;2;hb3.png;1
4;av7;silence;;16;;3;hb1.png;0
4;av7;silence;;17;;3;hb2.png;1
4;av7;silence;;18;;3;ha3.png;1
4;av7;silence;;19;;3;ha1.png;1
4;av7;silence;;20;;3;hb1.png;1
4;av7;silence;;21;;3;ha1.png;1
4;av7;silence;;22;;3;ha2.png;1
4;av7;silence;;23;;3;hb3.png;1
4;az8t;verb;;0;;1;ha1.png;1
4;az8t;verb;;1;;1;hb3.png;0
4;az8t;verb;;2;;1;hb1.png;1
4;az8t;verb;;3;;1;ha1.png;1
4;az8t;verb;;4;;1;hb1.png;1
4;az8t;verb;;5;;1;ha2.png;1
4;az8t;verb;;6;;1;ha3.png;0
4;az8t;verb;;7;;1;hb2.png;1
4;az8t;verb;;8;;2;ha1.png;1
4;az8t;verb;;9;;2;hb3.png;1
4;az8t;verb;;10;;2;hb1.png;1
4;az8t;verb;;11;;2;ha1.png;1
4;az8t;verb;;12;;2;hb1.png;1
4;az8t;verb;;13;;2;ha2.png;1
4;az8t;verb;;14;;2;ha3.png;1
4;az8t;verb;;15;;2;hb2.png;1
4;az8t;verb;;16;;3;ha1.png;1
4;az8t;verb;;17;;3;hb3.png;1
4;az8t;verb;;18;;3;hb1.png;1
4;az8t;verb;;19;;3;ha1.png;1
4;az8t;verb;;20;;3;hb1.png;1
4;az8t;verb;;21;;3;ha2.png;1
4;az8t;verb;;22;;3;ha3.png;1
4;az8t;verb;;23;;3;hb2.png;1
4;dg8;silence;;0;;1;hb1.png;0
4;dg8;silence;;1;;1;ha1.png;1
4;dg8;silence;;2;;1;ha1.png;0
4;dg8;silence;;3;;1;hb2.png;0
4;dg8;silence;;4;;1;ha2.png;0
4;dg8;silence;;5;;1;hb1.png;0
4;dg8;silence;;6;;1;hb3.png;0
4;dg8;silence;;7;;1;ha3.png;0
4;dg8;silence;;8;;2;hb1.png;0
4;dg8;silence;;9;;2;ha1.png;1
4;dg8;silence;;10;;2;ha1.png;1
4;dg8;silence;;11;;2;hb2.png;1
4;dg8;silence;;12;;2;ha2.png;1
4;dg8;silence;;13;;2;hb1.png;1
4;dg8;silence;;14;;2;hb3.png;0
4;dg8;silence;;15;;2;ha3.png;1
4;dg8;silence;;16;;3;hb1.png;0
4;dg8;silence;;17;;3;ha1.png;1
4;dg8;silence;;18;;3;ha1.png;1
4;dg8;silence;;19;;3;hb2.png;1
4;dg8;silence;;20;;3;ha2.png;1
4;dg8;silence;;21;;3;hb1.png;1
4;dg8;silence;;22;;3;hb3.png;1
4;dg8;silence;;23;;3;ha3.png;1
4;dk7;verb;;0;;1;ha2.png;1
4;dk7;verb;;1;;1;hb2.png;0
4;dk7;verb;;2;;1;ha1.png;0
4;dk7;verb;;3;;1;ha1.png;1
4;dk7;verb;;4;;1;hb1.png;1
4;dk7;verb;;5;;1;ha3.png;1
4;dk7;verb;;6;;1;hb1.png;1
4;dk7;verb;;7;;1;hb3.png;1
4;dk7;verb;;8;;2;ha2.png;1
4;dk7;verb;;9;;2;hb2.png;1
4;dk7;verb;;10;;2;ha1.png;1
4;dk7;verb;;11;;2;ha1.png;1
4;dk7;verb;;12;;2;hb1.png;1
4;dk7;verb;;13;;2;ha3.png;1
4;dk7;verb;;14;;2;hb1.png;1
4;dk7;verb;;15;;2;hb3.png;1
4;dk7;verb;;16;;3;ha2.png;1
4;dk7;verb;;17;;3;hb2.png;1
4;dk7;verb;;18;;3;ha1.png;1
4;dk7;verb;;19;;3;ha1.png;1
4;dk7;verb;;20;;3;hb1.png;1
4;dk7;verb;;21;;3;ha3.png;1
4;dk7;verb;;22;;3;hb1.png;1
4;dk7;verb;;23;;3;hb3.png;1
4;dt8;verb;;0;;1;hb1.png;0
4;dt8;verb;;1;;1;hb3.png;0
4;dt8;verb;;2;;1;ha2.png;0
4;dt8;verb;;3;;1;ha1.png;1
4;dt8;verb;;4;;1;hb2.png;1
4;dt8;verb;;5;;1;ha3.png;0
4;dt8;verb;;6;;1;ha1.png;1
4;dt8;verb;;7;;1;hb1.png;1
4;dt8;verb;;8;;2;hb1.png;1
4;dt8;verb;;9;;2;hb3.png;0
4;dt8;verb;;10;;2;ha2.png;1
4;dt8;verb;;11;;2;ha1.png;0
4;dt8;verb;;12;;2;hb2.png;1
4;dt8;verb;;13;;2;ha3.png;1
4;dt8;verb;;14;;2;ha1.png;1
4;dt8;verb;;15;;2;hb1.png;1
4;dt8;verb;;16;;3;hb1.png;1
4;dt8;verb;;17;;3;hb3.png;0
4;dt8;verb;;18;;3;ha2.png;0
4;dt8;verb;;19;;3;ha1.png;1
4;dt8;verb;;20;;3;hb2.png;1
4;dt8;verb;;21;;3;ha3.png;1
4;dt8;verb;;22;;3;ha1.png;0
4;dt8;verb;;23;;3;hb1.png;1
4;dz7;verb;;0;;1;hb3.png;0
4;dz7;verb;;1;;1;hb2.png;0
4;dz7;verb;;2;;1;ha3.png;0
4;dz7;verb;;3;;1;ha2.png;0
4;dz7;verb;;4;;1;hb1.png;1
4;dz7;verb;;5;;1;ha1.png;0
4;dz7;verb;;6;;1;ha1.png;0
4;dz7;verb;;7;;1;hb1.png;1
4;dz7;verb;;8;;2;hb3.png;1
4;dz7;verb;;9;;2;hb2.png;0
4;dz7;verb;;10;;2;ha3.png;1
4;dz7;verb;;11;;2;ha2.png;0
4;dz7;verb;;12;;2;hb1.png;0
4;dz7;verb;;13;;2;ha1.png;0
4;dz7;verb;;14;;2;ha1.png;1
4;dz7;verb;;15;;2;hb1.png;1
4;dz7;verb;;16;;3;hb3.png;0
4;dz7;verb;;17;;3;hb2.png;0
4;dz7;verb;;18;;3;ha3.png;0
4;dz7;verb;;19;;3;ha2.png;1
4;dz7;verb;;20;;3;hb1.png;1
4;dz7;verb;;21;;3;ha1.png;0
4;dz7;verb;;22;;3;ha1.png;1
4;dz7;verb;;23;;3;hb1.png;1
4;eh7;verb;;0;;1;hb1.png;0
4;eh7;verb;;1;;1;ha2.png;0
4;eh7;verb;;2;;1;ha1.png;1
4;eh7;verb;;3;;1;hb1.png;1
4;eh7;verb;;4;;1;ha3.png;1
4;eh7;verb;;5;;1;hb3.png;1
4;eh7;verb;;6;;1;ha1.png;1
4;eh7;verb;;7;;1;hb2.png;1
4;eh7;verb;;8;;2;hb1.png;1
4;eh7;verb;;9;;2;ha2.png;1
4;eh7;verb;;10;;2;ha1.png;0
4;eh7;verb;;11;;2;hb1.png;1
4;eh7;verb;;12;;2;ha3.png;1
4;eh7;verb;;13;;2;hb3.png;0
4;eh7;verb;;14;;2;ha1.png;0
4;eh7;verb;;15;;2;hb2.png;0
4;eh7;verb;;16;;3;hb1.png;1
4;eh7;verb;;17;;3;ha2.png;1
4;eh7;verb;;18;;3;ha1.png;0
4;eh7;verb;;19;;3;hb1.png;1
4;eh7;verb;;20;;3;ha3.png;1
4;eh7;verb;;21;;3;hb3.png;1
4;eh7;verb;;22;;3;ha1.png;1
4;eh7;verb;;23;;3;hb2.png;1
4;em7_1k;verb;;0;;1;ha3.png;1
4;em7_1k;verb;;1;;1;hb3.png;1
4;em7_1k;verb;;2;;1;hb2.png;0
4;em7_1k;verb;;3;;1;ha2.png;1
4;em7_1k;verb;;4;;1;hb1.png;1
4;em7_1k;verb;;5;;1;hb1.png;1
4;em7_1k;verb;;6;;1;ha1.png;1
4;em7_1k;verb;;7;;1;ha1.png;1
4;em7_1k;verb;;8;;2;ha3.png;1
4;em7_1k;verb;;9;;2;hb3.png;1
4;em7_1k;verb;;10;;2;hb2.png;1
4;em7_1k;verb;;11;;2;ha2.png;1
4;em7_1k;verb;;12;;2;hb1.png;1
4;em7_1k;verb;;13;;2;hb1.png;1
4;em7_1k;verb;;14;;2;ha1.png;1
4;em7_1k;verb;;15;;2;ha1.png;1
4;em7_1k;verb;;16;;3;ha3.png;1
4;em7_1k;verb;;17;;3;hb3.png;1
4;em7_1k;verb;;18;;3;hb2.png;1
4;em7_1k;verb;;19;;3;ha2.png;1
4;em7_1k;verb;;20;;3;hb1.png;1
4;em7_1k;verb;;21;;3;hb1.png;1
4;em7_1k;verb;;22;;3;ha1.png;1
4;em7_1k;verb;;23;;3;ha1.png;1
4;em7;verb;;0;;1;ha1.png;1
4;em7;verb;;1;;1;ha1.png;1
4;em7;verb;;2;;1;hb3.png;0
4;em7;verb;;3;;1;hb1.png;1
4;em7;verb;;4;;1;ha2.png;0
4;em7;verb;;5;;1;hb1.png;1
4;em7;verb;;6;;1;ha3.png;1
4;em7;verb;;7;;1;hb2.png;0
4;em7;verb;;8;;2;ha1.png;1
4;em7;verb;;9;;2;ha1.png;0
4;em7;verb;;10;;2;hb3.png;0
4;em7;verb;;11;;2;hb1.png;1
4;em7;verb;;12;;2;ha2.png;0
4;em7;verb;;13;;2;hb1.png;1
4;em7;verb;;14;;2;ha3.png;1
4;em7;verb;;15;;2;hb2.png;1
4;em7;verb;;16;;3;ha1.png;0
4;em7;verb;;17;;3;ha1.png;1
4;em7;verb;;18;;3;hb3.png;0
4;em7;verb;;19;;3;hb1.png;1
4;em7;verb;;20;;3;ha2.png;0
4;em7;verb;;21;;3;hb1.png;1
4;em7;verb;;22;;3;ha3.png;1
4;em7;verb;;23;;3;hb2.png;1
4;ep8;silence;;0;;1;ha1.png;1
4;ep8;silence;;1;;1;hb1.png;1
4;ep8;silence;;2;;1;ha1.png;1
4;ep8;silence;;3;;1;hb1.png;1
4;ep8;silence;;4;;1;hb2.png;1
4;ep8;silence;;5;;1;ha2.png;1
4;ep8;silence;;6;;1;ha3.png;1
4;ep8;silence;;7;;1;hb3.png;1
4;ep8;silence;;8;;2;ha1.png;1
4;ep8;silence;;9;;2;hb1.png;1
4;ep8;silence;;10;;2;ha1.png;1
4;ep8;silence;;11;;2;hb1.png;1
4;ep8;silence;;12;;2;hb2.png;0
4;ep8;silence;;13;;2;ha2.png;0
4;ep8;silence;;14;;2;ha3.png;1
4;ep8;silence;;15;;2;hb3.png;1
4;ep8;silence;;16;;3;ha1.png;1
4;ep8;silence;;17;;3;hb1.png;1
4;ep8;silence;;18;;3;ha1.png;1
4;ep8;silence;;19;;3;hb1.png;1
4;ep8;silence;;20;;3;hb2.png;0
4;ep8;silence;;21;;3;ha2.png;0
4;ep8;silence;;22;;3;ha3.png;1
4;ep8;silence;;23;;3;hb3.png;1
4;gs8;silence;;0;;1;ha1.png;1
4;gs8;silence;;1;;1;ha3.png;0
4;gs8;silence;;2;;1;hb2.png;1
4;gs8;silence;;3;;1;hb3.png;0
4;gs8;silence;;4;;1;ha1.png;1
4;gs8;silence;;5;;1;ha2.png;0
4;gs8;silence;;6;;1;hb1.png;0
4;gs8;silence;;7;;1;hb1.png;1
4;gs8;silence;;8;;2;ha1.png;1
4;gs8;silence;;9;;2;ha3.png;0
4;gs8;silence;;10;;2;hb2.png;1
4;gs8;silence;;11;;2;hb3.png;0
4;gs8;silence;;12;;2;ha1.png;1
4;gs8;silence;;13;;2;ha2.png;1
4;gs8;silence;;14;;2;hb1.png;1
4;gs8;silence;;15;;2;hb1.png;1
4;gs8;silence;;16;;3;ha1.png;1
4;gs8;silence;;17;;3;ha3.png;0
4;gs8;silence;;18;;3;hb2.png;1
4;gs8;silence;;19;;3;hb3.png;1
4;gs8;silence;;20;;3;ha1.png;1
4;gs8;silence;;21;;3;ha2.png;0
4;gs8;silence;;22;;3;hb1.png;1
4;gs8;silence;;23;;3;hb1.png;1
4;ha_7;verb;;0;;1;hb1.png;0
4;ha_7;verb;;1;;1;hb3.png;0
4;ha_7;verb;;2;;1;ha1.png;0
4;ha_7;verb;;3;;1;ha1.png;1
4;ha_7;verb;;4;;1;hb2.png;1
4;ha_7;verb;;5;;1;hb1.png;1
4;ha_7;verb;;6;;1;ha2.png;1
4;ha_7;verb;;7;;1;ha3.png;1
4;ha_7;verb;;8;;2;hb1.png;1
4;ha_7;verb;;9;;2;hb3.png;1
4;ha_7;verb;;10;;2;ha1.png;1
4;ha_7;verb;;11;;2;ha1.png;1
4;ha_7;verb;;12;;2;hb2.png;1
4;ha_7;verb;;13;;2;hb1.png;1
4;ha_7;verb;;14;;2;ha2.png;1
4;ha_7;verb;;15;;2;ha3.png;1
4;ha_7;verb;;16;;3;hb1.png;1
4;ha_7;verb;;17;;3;hb3.png;1
4;ha_7;verb;;18;;3;ha1.png;1
4;ha_7;verb;;19;;3;ha1.png;1
4;ha_7;verb;;20;;3;hb2.png;1
4;ha_7;verb;;21;;3;hb1.png;1
4;ha_7;verb;;22;;3;ha2.png;0
4;ha_7;verb;;23;;3;ha3.png;1
4;ih8;verb;;0;;1;hb2.png;0
4;ih8;verb;;1;;1;ha1.png;0
4;ih8;verb;;2;;1;hb1.png;0
4;ih8;verb;;3;;1;ha2.png;1
4;ih8;verb;;4;;1;ha1.png;0
4;ih8;verb;;5;;1;hb1.png;0
4;ih8;verb;;6;;1;ha3.png;0
4;ih8;verb;;7;;1;hb3.png;1
4;ih8;verb;;8;;2;hb2.png;0
4;ih8;verb;;9;;2;ha1.png;1
4;ih8;verb;;10;;2;hb1.png;1
4;ih8;verb;;11;;2;ha2.png;0
4;ih8;verb;;12;;2;ha1.png;0
4;ih8;verb;;13;;2;hb1.png;0
4;ih8;verb;;14;;2;ha3.png;1
4;ih8;verb;;15;;2;hb3.png;1
4;ih8;verb;;16;;3;hb2.png;0
4;ih8;verb;;17;;3;ha1.png;0
4;ih8;verb;;18;;3;hb1.png;0
4;ih8;verb;;19;;3;ha2.png;0
4;ih8;verb;;20;;3;ha1.png;1
4;ih8;verb;;21;;3;hb1.png;0
4;ih8;verb;;22;;3;ha3.png;1
4;ih8;verb;;23;;3;hb3.png;1
4;it8;silence;;0;;1;ha1.png;0
4;it8;silence;;1;;1;hb3.png;1
4;it8;silence;;2;;1;ha3.png;1
4;it8;silence;;3;;1;hb1.png;1
4;it8;silence;;4;;1;hb1.png;1
4;it8;silence;;5;;1;ha2.png;1
4;it8;silence;;6;;1;ha1.png;0
4;it8;silence;;7;;1;hb2.png;0
4;it8;silence;;8;;2;ha1.png;0
4;it8;silence;;9;;2;hb3.png;0
4;it8;silence;;10;;2;ha3.png;1
4;it8;silence;;11;;2;hb1.png;1
4;it8;silence;;12;;2;hb1.png;1
4;it8;silence;;13;;2;ha2.png;1
4;it8;silence;;14;;2;ha1.png;0
4;it8;silence;;15;;2;hb2.png;1
4;it8;silence;;16;;3;ha1.png;0
4;it8;silence;;17;;3;hb3.png;0
4;it8;silence;;18;;3;ha3.png;1
4;it8;silence;;19;;3;hb1.png;1
4;it8;silence;;20;;3;hb1.png;1
4;it8;silence;;21;;3;ha2.png;1
4;it8;silence;;22;;3;ha1.png;0
4;it8;silence;;23;;3;hb2.png;0
4;iz8;verb;;0;;1;ha3.png;1
4;iz8;verb;;1;;1;ha1.png;0
4;iz8;verb;;2;;1;hb2.png;0
4;iz8;verb;;3;;1;hb3.png;1
4;iz8;verb;;4;;1;ha1.png;0
4;iz8;verb;;5;;1;hb1.png;1
4;iz8;verb;;6;;1;ha2.png;1
4;iz8;verb;;7;;1;hb1.png;1
4;iz8;verb;;8;;2;ha3.png;1
4;iz8;verb;;9;;2;ha1.png;0
4;iz8;verb;;10;;2;hb2.png;0
4;iz8;verb;;11;;2;hb3.png;1
4;iz8;verb;;12;;2;ha1.png;1
4;iz8;verb;;13;;2;hb1.png;1
4;iz8;verb;;14;;2;ha2.png;1
4;iz8;verb;;15;;2;hb1.png;1
4;iz8;verb;;16;;3;ha3.png;0
4;iz8;verb;;17;;3;ha1.png;1
4;iz8;verb;;18;;3;hb2.png;1
4;iz8;verb;;19;;3;hb3.png;0
4;iz8;verb;;20;;3;ha1.png;1
4;iz8;verb;;21;;3;hb1.png;1
4;iz8;verb;;22;;3;ha2.png;1
4;iz8;verb;;23;;3;hb1.png;1
4;kb9;silence;;0;;1;hb3.png;0
4;kb9;silence;;1;;1;ha1.png;0
4;kb9;silence;;2;;1;hb1.png;1
4;kb9;silence;;3;;1;hb1.png;1
4;kb9;silence;;4;;1;ha2.png;0
4;kb9;silence;;5;;1;hb2.png;1
4;kb9;silence;;6;;1;ha1.png;1
4;kb9;silence;;7;;1;ha3.png;0
4;kb9;silence;;8;;2;hb3.png;1
4;kb9;silence;;9;;2;ha1.png;1
4;kb9;silence;;10;;2;hb1.png;1
4;kb9;silence;;11;;2;hb1.png;1
4;kb9;silence;;12;;2;ha2.png;1
4;kb9;silence;;13;;2;hb2.png;1
4;kb9;silence;;14;;2;ha1.png;1
4;kb9;silence;;15;;2;ha3.png;1
4;kb9;silence;;16;;3;hb3.png;1
4;kb9;silence;;17;;3;ha1.png;1
4;kb9;silence;;18;;3;hb1.png;1
4;kb9;silence;;19;;3;hb1.png;1
4;kb9;silence;;20;;3;ha2.png;1
4;kb9;silence;;21;;3;hb2.png;1
4;kb9;silence;;22;;3;ha1.png;1
4;kb9;silence;;23;;3;ha3.png;1
4;ky8;silence;;0;;1;hb1.png;0
4;ky8;silence;;1;;1;ha1.png;1
4;ky8;silence;;2;;1;hb2.png;1
4;ky8;silence;;3;;1;hb3.png;1
4;ky8;silence;;4;;1;ha2.png;0
4;ky8;silence;;5;;1;ha1.png;1
4;ky8;silence;;6;;1;hb1.png;1
4;ky8;silence;;7;;1;ha3.png;0
4;ky8;silence;;8;;2;hb1.png;1
4;ky8;silence;;9;;2;ha1.png;1
4;ky8;silence;;10;;2;hb2.png;1
4;ky8;silence;;11;;2;hb3.png;0
4;ky8;silence;;12;;2;ha2.png;0
4;ky8;silence;;13;;2;ha1.png;1
4;ky8;silence;;14;;2;hb1.png;1
4;ky8;silence;;15;;2;ha3.png;1
4;ky8;silence;;16;;3;hb1.png;1
4;ky8;silence;;17;;3;ha1.png;1
4;ky8;silence;;18;;3;hb2.png;1
4;ky8;silence;;19;;3;hb3.png;0
4;ky8;silence;;20;;3;ha2.png;0
4;ky8;silence;;21;;3;ha1.png;1
4;ky8;silence;;22;;3;hb1.png;1
4;ky8;silence;;23;;3;ha3.png;0
4;ma7_1k;verb;;0;;1;ha2.png;0
4;ma7_1k;verb;;1;;1;hb3.png;1
4;ma7_1k;verb;;2;;1;hb1.png;0
4;ma7_1k;verb;;3;;1;ha1.png;1
4;ma7_1k;verb;;4;;1;ha3.png;1
4;ma7_1k;verb;;5;;1;hb2.png;1
4;ma7_1k;verb;;6;;1;hb1.png;1
4;ma7_1k;verb;;7;;1;ha1.png;1
4;ma7_1k;verb;;8;;2;ha2.png;1
4;ma7_1k;verb;;9;;2;hb3.png;1
4;ma7_1k;verb;;10;;2;hb1.png;1
4;ma7_1k;verb;;11;;2;ha1.png;1
4;ma7_1k;verb;;12;;2;ha3.png;1
4;ma7_1k;verb;;13;;2;hb2.png;1
4;ma7_1k;verb;;14;;2;hb1.png;1
4;ma7_1k;verb;;15;;2;ha1.png;1
4;ma7_1k;verb;;16;;3;ha2.png;1
4;ma7_1k;verb;;17;;3;hb3.png;1
4;ma7_1k;verb;;18;;3;hb1.png;1
4;ma7_1k;verb;;19;;3;ha1.png;1
4;ma7_1k;verb;;20;;3;ha3.png;1
4;ma7_1k;verb;;21;;3;hb2.png;1
4;ma7_1k;verb;;22;;3;hb1.png;1
4;ma7_1k;verb;;23;;3;ha1.png;1
4;ma7;verb;;0;;1;hb3.png;0
4;ma7;verb;;1;;1;hb1.png;1
4;ma7;verb;;2;;1;ha1.png;1
4;ma7;verb;;3;;1;ha1.png;0
4;ma7;verb;;4;;1;hb2.png;1
4;ma7;verb;;5;;1;ha2.png;1
4;ma7;verb;;6;;1;ha3.png;0
4;ma7;verb;;7;;1;hb1.png;0
4;ma7;verb;;8;;2;hb3.png;1
4;ma7;verb;;9;;2;hb1.png;1
4;ma7;verb;;10;;2;ha1.png;1
4;ma7;verb;;11;;2;ha1.png;1
4;ma7;verb;;12;;2;hb2.png;1
4;ma7;verb;;13;;2;ha2.png;0
4;ma7;verb;;14;;2;ha3.png;1
4;ma7;verb;;15;;2;hb1.png;0
4;ma7;verb;;16;;3;hb3.png;1
4;ma7;verb;;17;;3;hb1.png;1
4;ma7;verb;;18;;3;ha1.png;1
4;ma7;verb;;19;;3;ha1.png;1
4;ma7;verb;;20;;3;hb2.png;1
4;ma7;verb;;21;;3;ha2.png;1
4;ma7;verb;;22;;3;ha3.png;0
4;ma7;verb;;23;;3;hb1.png;1
4;mg8;silence;;0;;1;ha1.png;1
4;mg8;silence;;1;;1;ha1.png;1
4;mg8;silence;;2;;1;hb1.png;1
4;mg8;silence;;3;;1;hb1.png;1
4;mg8;silence;;4;;1;ha2.png;1
4;mg8;silence;;5;;1;ha3.png;0
4;mg8;silence;;6;;1;hb2.png;1
4;mg8;silence;;7;;1;hb3.png;0
4;mg8;silence;;8;;2;ha1.png;1
4;mg8;silence;;9;;2;ha1.png;1
