block;accuracy;group;zone_all;IA_DWELL_TIME_.;IA_FIRST_FIXATION_TIME;IA_FIRST_FIXATION_INDEX;IA_FIXATION_COUNT;IA_FIXATION_.;zone;subject
2;25;verbalization;rule_section;0,3399125;1912;5,25;7,75;0,3085375;relevant;vp8
3;50;verbalization;bottom_distractor;0,2267375;256,125;1,875;4,25;0,198075;distractor;vp8
3;50;verbalization;boy;0,0331875;4338,75;9,75;1,125;0,054925;label;vp8
3;50;verbalization;girl;0,1147;4131,4;10,6;2,875;0,1242875;label;vp8
3;50;verbalization;left_distractor;0,198625;2473,125;6,5;3,625;0,19785;distractor;vp8
3;50;verbalization;rule_section;0,301975;2076,5;6,375;5,625;0,2743875;relevant;vp8
1;25;control;bottom_distractor;0,276325;186,375;2,125;2,875;0,17175;distractor;vp8_2i
1;25;control;boy;0,0579125;6196,25;16,75;1,25;0,0547625;label;vp8_2i
1;25;control;girl;0,1240375;3236,142857;9,428571429;3,5;0,1625125;label;vp8_2i
1;25;control;left_distractor;0,2882625;709,875;2,875;5,75;0,3014125;distractor;vp8_2i
1;25;control;rule_section;0,198425;1498,625;4,75;3,875;0,2063375;relevant;vp8_2i
2;50;control;bottom_distractor;0,201125;141,25;1,625;1,875;0,151;distractor;vp8_2i
2;50;control;boy;0,0033;2238;6;0,125;0,008925;label;vp8_2i
2;50;control;girl;0,071175;2984;8;1,625;0,1106125;label;vp8_2i
2;50;control;left_distractor;0,381725;1457,75;4;4,625;0,3440375;distractor;vp8_2i
2;50;control;rule_section;0,2345875;1424,5;4;3;0,2390875;relevant;vp8_2i
3;50;control;bottom_distractor;0,2583;137,75;1,625;2;0,1893125;distractor;vp8_2i
3;50;control;boy;0,0150375;3094;8;0,25;0,022725;label;vp8_2i
3;50;control;girl;0,0698;2947,25;8,5;0,875;0,0716;label;vp8_2i
3;50;control;left_distractor;0,2600125;1248,714286;3,571428571;2,75;0,2566125;distractor;vp8_2i
3;50;control;rule_section;0,25585;1510,5;4,25;3,5;0,3160625;relevant;vp8_2i
1;37,5;control;bottom_distractor;0,5211375;210;1,5;7;0,4502875;distractor;vs8
1;37,5;control;boy;0,0841125;3711,75;9,75;1,625;0,0809625;label;vs8
1;37,5;control;girl;0,105175;2192,5;6,75;1,25;0,092;label;vs8
1;37,5;control;left_distractor;0,1302125;1918,375;5,75;2,75;0,1616;distractor;vs8
1;37,5;control;rule_section;0,0887375;2518,75;7,5;2;0,1343375;relevant;vs8
2;62,5;control;bottom_distractor;0,4917375;164;1,625;7,125;0,4208625;distractor;vs8
2;62,5;control;boy;0,079625;3623,5;11,5;1,25;0,0547625;label;vs8
2;62,5;control;girl;0,087325;5596;15,5;1,625;0,0852625;label;vs8
2;62,5;control;left_distractor;0,121125;1444,75;4,625;3,125;0,204675;distractor;vs8
2;62,5;control;rule_section;0,104525;1280;3,875;2,625;0,1518;relevant;vs8
3;62,5;control;bottom_distractor;0,5764875;370,25;1,875;5,625;0,463375;distractor;vs8
3;62,5;control;boy;0,06815;3555,75;9,25;1,125;0,08505;label;vs8
3;62,5;control;girl;0,0426875;3694;11,66666667;0,5;0,034975;label;vs8
3;62,5;control;left_distractor;0,1419875;1560,125;4,625;3;0,2030375;distractor;vs8
3;62,5;control;rule_section;0,0992625;2462,166667;7,333333333;2,125;0,1307;relevant;vs8
1;50;control;bottom_distractor;0,0506875;303;1;1,125;0,0468625;distractor;vy8
1;50;control;boy;0,1436125;2425,4;4,8;3;0,142175;label;vy8
1;50;control;girl;0,2030625;2980,4;5;2;0,212125;label;vy8
1;50;control;left_distractor;0,0745875;3037,166667;6,666666667;2;0,103525;distractor;vy8
1;50;control;rule_section;0,3924;2372,428571;4,285714286;4,125;0,37195;relevant;vy8
2;25;control;bottom_distractor;0,15065;1115,857143;4,142857143;1,875;0,1148625;distractor;vy8
2;25;control;boy;0,1004;2274,166667;7,666666667;2,25;0,1116625;label;vy8
2;25;control;girl;0,1457125;4270,333333;12,83333333;1,875;0,1140375;label;vy8
2;25;control;left_distractor;0,0983125;1580,375;5,375;2,25;0,1531625;distractor;vy8
2;25;control;rule_section;0,3470125;960,875;3,5;5,75;0,3352625;relevant;vy8
3;62,5;control;bottom_distractor;0,1207625;5834,833333;7,833333333;1,25;0,1147375;distractor;vy8
3;62,5;control;boy;0,1453125;2310;4,5;1,5;0,0942125;label;vy8
3;62,5;control;girl;0,1497375;3028,6;5,6;1,875;0,1278125;label;vy8
3;62,5;control;left_distractor;0,1702625;5174;6,428571429;2,125;0,1559375;distractor;vy8
3;62,5;control;rule_section;0,3500625;1947,5;2,625;4,125;0,37125;relevant;vy8
